rank,certification,issuer,postings,percent_of_cyber_postings
1,CCSP,ISC2,3,75.0
2,CISA,ISACA,3,75.0
3,CISSP,ISC2,3,75.0
4,GIAC (other),GIAC,3,75.0
5,CEH,EC-Council,2,50.0
6,CISM,ISACA,1,25.0
7,OSCP,OffSec,1,25.0
8,AWS Certified Security,AWS,0,0.0
9,Azure Security Engineer (AZ-500),Microsoft,0,0.0
10,CCNA,Cisco,0,0.0
11,CCSK,Cloud Security Alliance,0,0.0
12,CRISC,ISACA,0,0.0
13,Cisco CyberOps Associate,Cisco,0,0.0
14,CompTIA A+,CompTIA,0,0.0
15,CompTIA CASP+ / SecurityX,CompTIA,0,0.0
16,CompTIA CySA+,CompTIA,0,0.0
17,CompTIA Network+,CompTIA,0,0.0
18,CompTIA PenTest+,CompTIA,0,0.0
19,CompTIA Security+,CompTIA,0,0.0
20,Fortinet NSE / FCSS,Fortinet,0,0.0
21,GIAC GCIA,GIAC,0,0.0
22,GIAC GCIH,GIAC,0,0.0
23,GIAC GPEN,GIAC,0,0.0
24,GIAC GREM,GIAC,0,0.0
25,GIAC GSEC,GIAC,0,0.0
26,Google Professional Cloud Security Engineer,Google,0,0.0
27,Microsoft SC-100 (Cybersecurity Architect),Microsoft,0,0.0
28,Microsoft SC-200 (Security Operations Analyst),Microsoft,0,0.0
29,Microsoft SC-300 (Identity & Access Administrator),Microsoft,0,0.0
30,OSEP,OffSec,0,0.0
31,OSWE,OffSec,0,0.0
32,PMP,PMI,0,0.0
33,Palo Alto PCNSE,Palo Alto Networks,0,0.0
34,SSCP,ISC2,0,0.0
35,Splunk Certified,Splunk,0,0.0
