Rank,Certification,Issuer,Postings,Percent of Cyber Postings,Scraped On
1,CISSP,ISC2,231,21.0,2026-09-14
2,CompTIA Security+,CompTIA,163,14.8,2026-09-14
3,GIAC (other),GIAC,108,9.8,2026-09-14
4,CISM,ISACA,83,7.5,2026-09-14
5,CEH,EC-Council,78,7.1,2026-09-14
6,CompTIA CySA+,CompTIA,71,6.5,2026-09-14
7,OSCP,OffSec,71,6.5,2026-09-14
8,CompTIA CASP+ / SecurityX,CompTIA,63,5.7,2026-09-14
9,GIAC GCIH,GIAC,62,5.6,2026-09-14
10,CISA,ISACA,55,5.0,2026-09-14
11,CCSP,ISC2,51,4.6,2026-09-14
12,GIAC GSEC,GIAC,51,4.6,2026-09-14
13,CCNA,Cisco,46,4.2,2026-09-14
14,SSCP,ISC2,46,4.2,2026-09-14
15,GIAC GCIA,GIAC,32,2.9,2026-09-14
16,GIAC GPEN,GIAC,27,2.5,2026-09-14
17,CRISC,ISACA,18,1.6,2026-09-14
18,Azure Security Engineer (AZ-500),Microsoft,17,1.5,2026-09-14
19,GIAC GREM,GIAC,16,1.5,2026-09-14
20,PMP,PMI,16,1.5,2026-09-14
21,OSEP,OffSec,15,1.4,2026-09-14
22,OSWE,OffSec,15,1.4,2026-09-14
23,CompTIA PenTest+,CompTIA,14,1.3,2026-09-14
24,Microsoft SC-300 (Identity & Access Administrator),Microsoft,14,1.3,2026-09-14
25,AWS Certified Security,AWS,12,1.1,2026-09-14
26,Microsoft SC-200 (Security Operations Analyst),Microsoft,10,0.9,2026-09-14
27,Microsoft SC-100 (Cybersecurity Architect),Microsoft,9,0.8,2026-09-14
28,CCSK,Cloud Security Alliance,6,0.5,2026-09-14
29,Cisco CyberOps Associate,Cisco,3,0.3,2026-09-14
30,CompTIA Network+,CompTIA,3,0.3,2026-09-14
31,Google Professional Cloud Security Engineer,Google,3,0.3,2026-09-14
32,Splunk Certified,Splunk,3,0.3,2026-09-14
33,CompTIA A+,CompTIA,2,0.2,2026-09-14
34,Fortinet NSE / FCSS,Fortinet,1,0.1,2026-09-14
35,Palo Alto PCNSE,Palo Alto Networks,1,0.1,2026-09-14
